# cryptogram-content curation: Author|Quote
# one quote per line, max 100 chars, fictional characters as 'Character (Source)'
A. Powell Davies|Life is just a chance to grow a soul.
Abraham Lincoln|A house divided against itself cannot stand.
Abraham Lincoln|Be sure you put your feet in the right place, then stand firm.
Abraham Lincoln|I destroy my enemies when I make them my friends.
Abraham Lincoln|I walk slowly, but I never walk backward.
Abraham Lincoln|Important principles may, and must, be inflexible.
Abraham Lincoln|Truth is generally the best vindication against slander.
Abraham Maslow|What is necessary to change a person is to change his awareness of himself.
Aesop|No act of kindness, no matter how small, is ever wasted.
African proverb|When deeds speak, words are nothing.
Agent Smith (Matrix)|Never send a human to do a machine's job.
Alan Turing (The Imitation Game)|Are you paying attention?
Alan Turing (The Imitation Game)|Was I God? No. Because God didn't win the war. We did.
Albert Camus|Autumn is a second spring when every leaf is a flower.
Albert Einstein|God always takes the simplest way.
Albert Einstein|I have no special talent. I am only passionately curious.
Albert Einstein|Logic will get you from A to B. Imagination will take you everywhere.
Albert Einstein|Once we accept our limits, we go beyond them.
Albert Einstein|The only real valuable thing is intuition.
Albert Einstein|When the solution is simple, God is answering.
Albert Schweitzer|Wherever a man turns he can find someone who needs him.
Albus Dumbledore (Harry Potter and the Prisoner of Azkaban)|Happiness can be found even in the darkest of times, when one only remembers to turn on the light.
Aldous Huxley|There is only one corner of the universe you can be certain of improving, and that's your own self.
Alexander (Acid)|What can you give the world besides an iPhone charger?
Alexander Pope|Do good by stealth, and blush to find it fame.
Alexander the Great|There is nothing impossible to him who will try.
Alfred Painter|Saying thank you is more than good manners. It is good spirituality.
Alphonse Karr|Some people are always grumbling because roses have thorns; I am thankful that thorns have roses.
American proverb|From little acorns mighty oaks do grow.
Amy Sherman-Palladino (The Marvelous Mrs. Maisel)|Life isn't fair. It's hard and cruel. You have to pick your friends as if there's a war going on.
Amy Sherman-Palladino (The Marvelous Mrs. Maisel)|The world is full of disappointments, and sometimes people let you down. You can't just run away.
Anais Nin|Age does not protect you from love. But love, to some extent, protects you from age.
Anais Nin|There is not one big cosmic meaning for all, there is only the meaning we each give to our life.
Anatole France|It is better to understand a little than to misunderstand a lot.
Andre Gide|Man cannot discover new oceans unless he has the courage to lose sight of the shore.
Andre Layton (Snowpiercer)|This is our leap of faith.
Andy Dufresne (The Shawshank Redemption)|Get Busy Living, Or Get Busy Dying.
Andy Dufresne (The Shawshank Redemption)|Hope is a good thing, maybe the best of things, and no good thing ever dies.
Andy Rooney|If you smile when no one else is around, you really mean it.
Andy Warhol|They say that time changes things, but you actually have to change them yourself.
Angela Schwindt|While we try to teach our children all about life, our children teach us what life is all about.
Anna Pavlova|To follow, without halt, one aim: There is the secret of success.
Anne Frank|No one has ever become poor by giving.
Anne Lamott|Joy is the best makeup.
Anne Schaef|Life is a process. We are a process. The universe is a process.
Anne Wilson Schaef|Trusting our intuition often saves us from disaster.
Anthony D'Angelo|Listen to your intuition. It will tell you everything you need to know.
Antoine de Saint-Exupery|It is only with the heart that one can see rightly, what is essential is invisible to the eye.
Arie de Gues|Your ability to learn faster than your competition is your only sustainable competitive advantage.
Aristotle|Change in all things is sweet.
Aristotle|Happiness depends upon ourselves.
Aristotle|In all things of nature there is something of the marvellous.
Aristotle|It is the mark of an educated mind to be able to entertain a thought without accepting it.
Aristotle|Well begun is half done.
Atticus Finch (To Kill a Mockingbird)|The one thing that doesn't abide by majority rule is a person's conscience.
